candidate_id	class	divergent
Bs46	lsr	False
Bt24	lsr	False
Bm99	lsr	False
Cd31	lsr	False
Cd16	lsr	False
Cd04	lsr	False
Cb16	lsr	True
Cp36	lsr	False
Cs56	lsr	False
Dn29	lsr	False
Enc3	lsr	True
Efs2	lsr	True
Ef01	lsr	False
Ef02	lsr	True
Ec03	lsr	False
Ec04	lsr	False
Ec05	lsr	True
Em12	lsr	False
Fp10	lsr	True
Fm04	lsr	False
Kp01	lsr	False
Kp03	lsr	False
Kp04	lsr	False
Kp05	lsr	False
Ma37	lsr	True
Me99	lsr	True
Nm60	lsr	False
No67	lsr	False
Pc01	lsr	False
Ps40	lsr	False
Pc64	lsr	True
Ph43	lsr	True
Pa01	lsr	False
Pa03	lsr	True
Pf13	lsr	False
Pf80	lsr	False
Pf15	lsr	False
Pp20	lsr	False
Ps45	lsr	False
Rb27	lsr	False
Rh64	lsr	False
Sp56	lsr	True
Sa51	lsr	True
Sa01	lsr	False
Sa02	lsr	False
Sa10	lsr	False
Sa34	lsr	False
Sm18	lsr	False
Si74	lsr	True
PhiC31	lsr	True
Td08	lsr	True
Td01	lsr	False
Vh73	lsr	False
Vh19	lsr	False
Vp82	lsr	False
resolvase__tr|A0A0D7CET7|A0A0D7CET7_9ACTN	resolvase	NA
resolvase__tr|A0A3N0C0A6|A0A3N0C0A6_9MICC	resolvase	NA
resolvase__tr|A0ABN1RCZ7|A0ABN1RCZ7_9ACTN	resolvase	NA
resolvase__tr|A0A024H213|A0A024H213_9MICC	resolvase	NA
resolvase__tr|A0A074LFE7|A0A074LFE7_9BACL	resolvase	NA
resolvase__tr|A0A081B832|A0A081B832_9HYPH	resolvase	NA
resolvase__tr|A0A0A7LEJ7|A0A0A7LEJ7_9ARCH	resolvase	NA
resolvase__tr|A0A0C3E4F0|A0A0C3E4F0_9VIBR	resolvase	NA
resolvase__tr|A0A0E4H820|A0A0E4H820_9STRE	resolvase	NA
resolvase__tr|A0A0F0H250|A0A0F0H250_LENAE	resolvase	NA
resolvase__tr|A0A0J8XWZ6|A0A0J8XWZ6_9GAMM	resolvase	NA
resolvase__tr|A0A0P9DCA8|A0A0P9DCA8_9CHLR	resolvase	NA
resolvase__tr|A0A0R3QAW0|A0A0R3QAW0_9BILA	resolvase	NA
resolvase__tr|A0A101UXS2|A0A101UXS2_9ACTN	resolvase	NA
resolvase__tr|A0A117S1I1|A0A117S1I1_9ACTN	resolvase	NA
resolvase__tr|A0A135P841|A0A135P841_9HYPH	resolvase	NA
resolvase__tr|A0A140DYC4|A0A140DYC4_9FIRM	resolvase	NA
resolvase__tr|A0A151ARG3|A0A151ARG3_9CLOT	resolvase	NA
resolvase__tr|A0A158CD55|A0A158CD55_9BURK	resolvase	NA
resolvase__tr|A0A1B7HG66|A0A1B7HG66_9ENTR	resolvase	NA
resolvase__tr|A0A1C0ZWQ4|A0A1C0ZWQ4_9BACL	resolvase	NA
resolvase__tr|A0A1C3N4N4|A0A1C3N4N4_9ACTN	resolvase	NA
resolvase__tr|A0A1C3RLC9|A0A1C3RLC9_9PROT	resolvase	NA
resolvase__tr|A0A1E1F8U3|A0A1E1F8U3_9SPHN	resolvase	NA
resolvase__tr|A0A1E5L9B1|A0A1E5L9B1_9FIRM	resolvase	NA
resolvase__tr|A0A1G8KQ90|A0A1G8KQ90_9BACI	resolvase	NA
resolvase__tr|A0A1H0KV93|A0A1H0KV93_9ACTN	resolvase	NA
resolvase__tr|A0A1H2WNM3|A0A1H2WNM3_9FLAO	resolvase	NA
resolvase__tr|A0A1H3MUA7|A0A1H3MUA7_9BACT	resolvase	NA
resolvase__tr|A0A1H6V0Y8|A0A1H6V0Y8_9FLAO	resolvase	NA
resolvase__tr|A0A1H6VLR1|A0A1H6VLR1_9GAMM	resolvase	NA
resolvase__tr|A0A1H7MLZ3|A0A1H7MLZ3_9GAMM	resolvase	NA
resolvase__tr|A0A1H8WAU9|A0A1H8WAU9_9EURY	resolvase	NA
